Scientific,Common_Nam,Circumfere,Height,Spread,Points,Latitude_NAD83,Longitude_NAD83,POINT_X_NAD83_17N,POINT_Y_NAD83_17N,Database,National_C,Year,Nominated by
Quercus laurifolia,Laurel oak,222.0,131.0,71.0,371.0,33.8180,-80.8055,518001.98,3741987.98,Jones1996,STATE CHAMP,1996,
Quercus laurifolia,Swamp Laurel oak,214.0,115.8,110.0,358.0,33.8102,-80.8016,518362.99,3741128.59,Phillips,Former State Champion,2010,
Quercus laurifolia,Laurel oak,198.0,134.0,74.0,350.5,33.8011,-80.8130,517310.75,3740116.57,Clemson,National Champ,2012,
Quercus laurifolia,Laurel Oak,195.0,124.0,91.0,341.8,33.8102,-80.8016,518358.87,3741128.72,Clemson,State,2012,
Quercus laurifolia,Laurel Oak,195.0,124.0,91.0,341.8,33.8102,-80.8016,518358.87,3741128.72,F.Chisolm Beckham,,2002,
Quercus laurifolia,Laurel oak,180.0,125.0,81.0,325.0,33.8163,-80.8114,517449.98,3741798.98,Jones1996,,1996,
Quercus laurifolia,Laurel Oak,232.0,120.0,,,33.8012,-80.8129,517318.44,3740129.51,Grego2014,,2014,
Quercus lyrata,Overcup Oak2,229.0,129.0,118.0,387.5,33.8231,-80.8602,512935.08,3742555.05,Clemson,State,2012,
Quercus lyrata,Overcup oak,229.0,129.0,118.0,387.0,33.8231,-80.8602,512937.32,3742550.11,Phillips,State Champion,2009,
Quercus lyrata,Overcup Oak,208.8,136.0,104.0,370.8,33.8119,-80.8217,516499.77,3741319.35,F.Chisolm Beckham,,2002,
Quercus lyrata,Overcup Oak1,208.0,132.0,108.0,367.0,33.8119,-80.8217,516499.77,3741319.35,Clemson,State,2012,
Quercus lyrata,Overcup oak,208.0,132.0,108.0,367.0,33.8119,-80.8217,516502.03,3741313.82,Phillips,State Champion,2009,
Quercus lyrata,Overcup,199.0,138.0,92.0,360.0,33.8120,-80.8216,516506.99,3741324.97,Jones1996,STATE CHAMP,1996,
Quercus lyrata,Overcup oak,188.0,136.0,80.0,344.0,33.7926,-80.7646,521788.91,3739185.89,Jones1996,,1996,
Quercus lyrata,Overcup oak,182.0,128.0,68.0,327.0,33.7790,-80.6951,528229.85,3737690.99,Jones1996,,1996,
Quercus lyrata,Overcup oak,199.5,0.0,0.0,0.0,33.8106,-80.8054,518011.26,3741172.33,Phillips,,2013,
Quercus lyrata,Overcup oak,193.0,0.0,0.0,0.0,33.8185,-80.8038,518157.17,3742048.55,Phillips,,2012,
Quercus lyrata,Overcup Oak,198.0,,,,33.8228,-80.8130,517304.83,3742524.39,Grego2014,,2014,
Quercus lyrata,Overcup Oak,195.0,130.0,,,33.8202,-80.8068,517879.12,3742237.18,Grego2014,,2014,
Quercus michauxii,Swamp chestnut oak,242.0,120.0,106.0,389.0,33.8186,-80.8285,515871.00,3742061.00,Jones1996,STATE CHAMP,1996,
Quercus michauxii,Swamp Chestnut oak,209.0,131.0,112.5,368.0,33.8064,-80.8210,516568.05,3740704.04,Phillips,,2009,
